@Relation RenaultDataSet

@Attribute Model	{Megane,Clio,Laguna,Scenic,Modus,Kangoo,Grand,Twingo,Espace,Vel,Koleos,Fluence,Captur,Express,Fuego,Latitude,Nevada,Rapid,Safrane,Thalia}
@Attribute Kilometres		NUMERIC
@Attribute Price			NUMERIC
@Attribute Year 			NUMERIC 
@Attribute HorsePower		NUMERIC
@Attribute Fuel			    NUMERIC
@Attribute AirCondition	    NUMERIC
@Attribute NumOfDoors		NUMERIC
@Attribute Gear			    NUMERIC

@Data
Kangoo,150000,2850,2005,75,1,0,1,0
Kangoo,158500,3390,2003,80,0,0,1,0
Scenic,181000,2000,2001,75,0,1,1,0
Twingo,35000,4950,2010,43,0,1,0,0
Clio,113754,3800,2009,55,0,0,0,0
Scenic,242100,1950,2001,75,0,1,1,0
Laguna,207600,2700,2002,88,0,1,1,0
Scenic,138000,3666,2004,101,0,0,1,0
Clio,1,2100,2004,72,0,0,0,0
Megane,181000,1650,2001,70,0,1,0,0
Laguna,223000,4250,2006,110,1,1,1,0
Scenic,195000,3400,2003,60,1,1,1,0
Clio,189280,1799,2002,55,0,1,0,0
Laguna,178000,2550,2003,89,0,0,1,0
Laguna,220000,1290,2002,88,0,1,1,0
Laguna,140000,2200,2001,89,0,0,1,0
Clio,200000,2200,2004,48,0,0,0,0
Laguna,148000,7000,2010,88,0,0,1,0
Laguna,167000,2450,2001,89,1,0,1,0
Kangoo,249000,2400,2004,48,0,1,0,0
Clio,195000,1600,2001,40,0,0,1,0
Megane,168000,3650,2005,79,0,1,1,0
Megane,223225,450,1998,66,1,1,0,0
Megane,160000,3350,2005,88,1,1,1,0
Clio,104,1999,2003,43,1,0,0,0
Megane,105000,9000,2010,78,0,0,0,0
Laguna,190000,1200,1994,83,1,0,1,0
Megane,183550,2600,2003,83,0,0,1,0
Scenic,173000,3650,2006,96,0,0,1,0
Megane,270000,2700,2006,63,0,1,1,0
Scenic,225141,1300,1997,74,0,0,1,0
Clio,171000,1700,2000,47,0,1,1,0
Megane,205000,1800,2001,66,1,0,1,0
Espace,290000,2500,2001,100,0,1,1,0
Megane,33000,9990,2012,81,0,0,1,0
Safrane,190000,600,1999,102,0,1,1,0
Laguna,240166,2400,2004,88,1,1,1,0
Clio,160000,2149,2003,55,0,1,1,0
Grand,144976,7200,2009,63,0,1,1,0
Modus,175000,3390,2004,63,0,0,1,0
Clio,150000,2100,2005,50,0,1,0,0
Scenic,180000,2890,2003,88,1,1,1,0
Scenic,136700,3299,2003,88,1,1,1,0
Scenic,165000,3550,2006,63,0,1,1,0
Laguna,154000,2550,2003,87,1,0,1,0
Scenic,115000,1990,2002,117,0,0,1,0
Twingo,110000,2150,2007,43,0,0,1,0
Clio,208618,1800,2004,48,0,0,0,0
Clio,205000,1900,2001,55,0,1,0,0
Clio,138000,4850,2008,50,0,0,1,0
Megane,187000,2190,2001,75,0,1,0,0
Twingo,96000,3590,2008,44,1,0,0,0
Scenic,190000,1950,2002,74,0,0,1,0
Megane,168000,6600,2010,96,0,1,1,0
Megane,156225,1999,2002,66,0,0,1,0
Clio,122000,2399,2003,72,0,0,1,0
Grand,167000,3800,2005,88,1,1,1,0
Clio,160000,1999,2002,55,0,0,0,0
Clio,146353,4350,2009,50,0,1,0,0
Scenic,110054,3050,2003,60,0,0,1,0
Scenic,76,3550,2004,88,0,1,1,0
Laguna,208610,1900,2003,99,0,1,1,0
Scenic,175355,2600,2005,88,1,1,1,0
Twingo,135000,3450,2008,43,0,0,0,0
Espace,205000,3650,2003,88,0,0,1,0
Clio,168000,4450,2007,63,0,1,1,0
Kangoo,75000,7000,2008,63,0,0,1,0
Clio,112000,2300,2002,55,0,0,1,0
Clio,155000,2799,2004,55,1,1,1,0
Clio,149100,2650,2005,48,0,0,0,0
Megane,152981,2999,2003,83,1,0,1,0
Megane,164575,2999,2003,62,0,0,1,0
Megane,145000,7099,2012,66,0,1,1,0
Clio,102605,2500,2003,55,0,1,1,0
Clio,151000,4400,2010,50,1,1,0,0
Megane,175000,2750,2003,60,0,1,1,0
Megane,150000,4990,2007,63,1,1,1,0
Clio,184529,2900,2005,55,0,0,0,0
Scenic,160341,2550,2001,79,0,1,1,1
Scenic,150000,6950,2010,63,1,1,1,0
Laguna,115000,4800,2006,103,0,0,1,1
Megane,148192,3400,2004,74,0,0,1,0
Megane,202000,2500,2003,75,0,1,1,0
Scenic,207000,2650,2001,79,1,1,1,0
Laguna,172000,2300,2001,89,0,1,1,0
Twingo,78000,2100,2002,55,0,0,0,0
Laguna,168000,2650,2002,88,0,1,1,0
Scenic,160000,2500,2003,75,0,0,1,1
Twingo,152000,1700,2001,44,1,0,0,0
Scenic,171000,4200,2005,99,0,1,1,1
Megane,164000,2599,2003,60,0,0,0,0
Laguna,225000,2600,2002,88,1,0,1,0
Megane,196082,2550,2005,96,0,0,0,0
Laguna,154578,3450,2005,88,1,0,1,0
Megane,258670,3200,2005,60,0,1,1,0
Scenic,201321,3400,2005,88,0,1,1,0
Scenic,193000,2890,2003,88,0,1,1,0
Megane,168000,5890,2010,63,0,1,1,0
Megane,151236,4100,2006,74,0,0,1,0
Grand,150873,7990,2010,96,0,0,1,0
Kangoo,161000,2550,2001,59,0,1,1,0
Scenic,140000,4990,2008,96,1,1,1,0
Clio,142000,2290,2003,55,0,0,0,0
Clio,157000,2490,2002,48,0,1,1,0
Clio,100123,2449,2005,55,1,1,0,0
Kangoo,147010,8300,2012,66,1,1,1,0
Clio,87000,3950,2006,55,0,1,1,0
Kangoo,173446,2450,2002,48,0,1,1,0
Clio,154000,3799,2006,63,0,0,1,0
Megane,146000,2850,2004,74,0,1,1,0
Megane,200000,1800,2003,74,1,1,1,0
Clio,170000,2600,2004,55,1,0,0,0
Megane,200000,2950,2005,88,0,0,1,0
Megane,170000,1999,2002,70,0,0,1,0
Kangoo,220000,2700,2002,66,0,0,1,0
Clio,158000,3999,2006,50,1,1,1,0
Espace,244000,3050,2001,103,1,0,1,0
Megane,240000,1850,2001,72,0,1,0,0
Twingo,165000,1300,2002,43,0,1,0,0
Rapid,260000,1350,1996,48,0,0,0,0
Laguna,240000,1000,1996,83,0,1,1,0
Megane,214000,3100,2004,74,1,1,1,0
Laguna,223000,2100,2002,79,0,0,1,0
Megane,135000,2500,2005,66,1,1,0,0
Scenic,173720,4800,2007,96,0,1,1,0
Megane,236150,3600,2006,78,0,0,0,0
Megane,187585,1300,1998,108,0,0,0,0
Scenic,208000,1450,2002,85,0,1,1,0
Grand,154000,5350,2008,78,0,1,1,0
Laguna,179500,4450,2006,92,0,0,1,0
Scenic,143500,3100,2004,88,0,0,1,0
Clio,151000,2350,2003,43,0,1,0,0
Clio,150000,1300,1999,43,1,0,1,0
Megane,132000,2400,2001,70,0,1,1,0
Kangoo,160000,5000,2009,50,1,1,0,0
Rapid,11111,700,1988,44,0,1,0,0
Laguna,175000,2800,2001,88,0,1,1,0
Megane,186000,2100,2003,79,1,1,1,0
Megane,150000,5950,2009,63,0,0,1,0
Clio,220000,2150,2002,60,0,0,0,0
Laguna,141000,2350,2004,88,0,0,1,0
Laguna,235000,2850,2007,96,0,1,1,0
Clio,3880,9700,2013,55,0,0,1,0
Laguna,257000,2000,2002,79,0,0,1,0
Megane,180000,2800,2004,63,0,1,1,0
Laguna,250000,1900,2001,89,0,0,1,0
Laguna,250560,2000,2002,89,1,1,1,0
Kangoo,112500,2650,2004,48,0,0,1,0
Laguna,182000,2950,2005,88,0,0,1,0
Scenic,184000,2850,2002,79,0,1,1,0
Megane,165109,3200,2005,60,0,1,1,0
Scenic,174600,2200,2001,75,1,0,1,0
Clio,150000,1550,2004,49,0,1,0,0
Scenic,147100,7299,2011,81,0,1,1,0
Megane,149000,5600,2006,83,1,1,0,0
Clio,158000,1870,2001,43,0,1,0,0
Kangoo,209000,1900,2003,48,0,1,0,0
Clio,300000,1250,2003,60,0,0,0,0
Clio,158900,2150,2001,48,1,0,0,0
Clio,222600,1600,2002,48,0,1,0,0
Megane,157268,4650,2005,96,0,0,0,0
Scenic,138000,2900,2004,74,1,0,1,0
Grand,185000,3850,2004,74,0,1,1,0
Clio,220000,890,1997,51,0,0,0,0
Vel,193,3500,2002,160,1,0,1,0
Clio,185000,1800,2004,51,1,0,0,0
Scenic,189205,2400,2001,75,0,1,1,0
Laguna,240000,2800,2001,88,0,0,1,0
Megane,165000,1750,2001,59,0,1,1,0
Clio,104500,2850,2004,55,0,0,0,1
Modus,190924,3350,2005,50,0,0,1,0
Laguna,255000,2800,2003,75,1,1,1,0
Megane,183000,2850,2003,88,1,1,1,0
Laguna,260000,2900,2004,79,0,0,1,0
Scenic,217000,1750,2002,75,1,1,1,0
Laguna,215000,2000,1998,83,1,1,1,0
Laguna,198000,1700,1999,79,1,1,1,0
Laguna,328770,1550,1996,61,0,0,1,0
Kangoo,170000,2050,2003,60,0,0,1,0
Clio,136200,2150,2002,48,1,1,1,0
Megane,255450,2200,2002,59,1,0,1,0
Scenic,220000,2900,2002,75,0,0,1,0
Laguna,211000,2100,2003,88,0,1,1,0
Clio,148535,1690,2001,43,0,0,0,0
Clio,144,4599,2007,63,0,1,1,0
Espace,350000,1450,1994,75,0,1,1,0
Laguna,153000,2900,2004,79,0,1,1,0
Laguna,195000,1900,2003,88,0,1,1,0
Laguna,264000,1800,2002,88,0,1,1,0
Megane,190000,2100,2002,79,0,0,1,0
Clio,211000,1900,2002,48,0,1,0,0
Thalia,93158,3400,2008,55,0,0,1,0
Megane,120000,4600,2008,62,1,1,0,0
Megane,187000,2000,2002,75,1,0,0,0
Clio,158500,1900,2001,72,0,1,1,1
Kangoo,24700,2490,1999,48,0,1,1,0
Laguna,174000,4700,2007,96,0,1,1,0
Laguna,178650,2500,2003,79,0,1,1,0
Scenic,188000,550,1997,66,1,0,1,0
Megane,208000,3000,2002,60,1,0,1,0
Megane,195000,2500,2003,88,0,1,1,0
Grand,220000,5999,2006,127,1,0,1,0
Grand,165000,4350,2005,88,0,0,1,0
Megane,125300,2700,2003,72,1,0,0,0
Grand,210000,3250,2004,44,0,1,1,0
Clio,212000,2050,2002,42,1,0,0,0
Scenic,186400,2999,2003,88,0,0,1,0
Laguna,153000,2500,2004,79,0,1,1,0
Megane,221379,3500,2002,88,1,0,1,0
Clio,180000,2150,2002,55,0,0,0,0
Espace,180000,2500,2001,97,0,0,1,0
Laguna,224520,2890,2005,81,1,1,1,0
Grand,215000,4550,2007,96,1,0,1,0
Laguna,240000,2200,2002,74,0,1,1,0
Laguna,166429,7200,2010,81,0,0,1,0
Grand,150350,3750,2005,74,0,1,1,0
Scenic,205000,1790,2001,77,0,0,1,0
Clio,123268,2200,2002,43,0,0,1,0
Clio,211552,2200,2003,48,0,1,1,0
Clio,161000,2300,2001,48,0,0,1,0
Clio,213123,550,1999,43,0,0,1,0
Grand,183665,2550,2002,102,0,0,1,0
Scenic,172000,2650,2000,79,0,1,1,0
Latitude,78210,11150,2011,110,0,0,1,0
Megane,167897,2750,2003,60,1,1,1,0
Laguna,195000,6300,2008,110,0,0,1,0
Megane,92000,6550,2011,66,0,0,1,0
Megane,153000,5900,2010,63,1,0,1,0
Megane,214000,2650,2003,72,0,1,1,0
Scenic,170582,5200,2008,78,0,1,1,0
Twingo,132000,2300,2005,43,0,0,0,0
Megane,118274,3900,2008,75,0,0,1,0
Clio,162063,2150,2002,60,1,1,1,0
Megane,161000,3250,2004,88,1,1,1,0
Megane,194800,3800,2005,60,0,0,1,0
Scenic,143325,3350,2005,88,1,0,1,0
Laguna,103000,6050,2007,103,0,1,1,0
Scenic,190000,2490,2000,101,0,1,1,0
Megane,150000,4000,2006,63,1,1,1,0
Kangoo,149000,5950,2010,66,0,0,1,0
Grand,62000,3850,2004,88,1,1,1,0
Kangoo,142000,6950,2010,63,0,1,1,0
Clio,120000,3600,2010,63,0,0,0,0
Scenic,139414,3300,2002,101,0,1,1,0
Clio,160000,2250,2002,55,0,0,0,0
Kangoo,89715,5900,2010,63,0,0,1,0
Megane,149900,3300,2004,88,0,0,1,0
Laguna,173000,2599,2003,85,0,0,1,1
Megane,180000,4550,2004,88,0,1,0,0
Grand,260000,1700,2004,74,0,0,1,0
Scenic,150000,2550,2004,88,0,1,1,0
Safrane,259000,899,1998,121,1,0,1,0
Scenic,174000,3050,2003,59,1,0,1,0
Megane,176000,2590,2003,88,1,1,1,0
Megane,205000,3600,2004,83,1,0,1,0
Scenic,153000,2850,2001,75,0,0,1,0
Megane,200000,2000,2002,75,0,1,1,0
Clio,154000,2100,2002,48,1,0,1,0
Scenic,200400,2490,2002,75,0,1,1,0
Grand,170000,4900,2005,88,0,0,1,0
Megane,224780,1900,1995,66,1,0,0,0
Grand,147000,2200,2001,130,0,1,1,0
Scenic,161395,2550,2002,79,0,1,1,0
Megane,150000,1500,2002,79,0,0,0,0
Megane,125000,3200,2004,74,0,1,1,0
Laguna,144000,2250,2002,88,0,1,1,0
Clio,220000,1750,2003,55,0,0,0,0
Megane,180000,2850,2003,60,1,0,1,0
Megane,188000,1990,2001,75,0,1,1,0
Megane,162000,2900,2003,88,0,0,1,0
Laguna,160000,2300,2001,88,0,1,1,0
Espace,385800,1600,1993,88,0,0,1,0
Scenic,172000,2850,2003,88,1,1,1,0
Laguna,184000,2350,2002,88,0,0,1,0
Megane,2,1666,2002,77,0,0,1,0
Laguna,250000,2500,2003,74,0,0,1,0
Clio,1450,1850,2003,43,0,0,0,0
Espace,170000,1500,2002,88,0,0,1,0
Laguna,196000,3000,2004,88,0,0,1,0
Scenic,190000,2250,2002,75,1,1,1,0
Megane,145000,2700,2003,62,0,1,1,0
Megane,190000,7400,2011,81,0,0,1,0
Megane,181000,6200,2004,165,0,1,0,0
Laguna,260000,1480,1994,68,0,1,1,0
Clio,166000,4400,2006,63,1,1,1,0
Laguna,174178,2800,2002,88,0,1,1,0
Megane,190000,1350,2000,70,0,1,1,0
Megane,250000,2100,2002,60,0,0,1,0
Laguna,233000,2700,2004,88,1,0,1,0
Espace,185000,5200,2007,110,0,1,1,0
Clio,183570,2200,2002,55,0,0,1,0
Megane,240000,3000,2002,66,1,0,1,0
Twingo,27000,5199,2010,43,1,1,0,0
Kangoo,195000,2690,2002,70,1,0,1,0
Clio,230000,1600,2003,66,1,1,0,0
Clio,187000,2000,2001,55,1,1,0,0
Laguna,238000,2300,2002,88,0,0,1,0
Clio,138400,2450,2002,40,0,0,0,0
Clio,213000,690,1992,55,0,1,1,0
Clio,225000,4300,2010,64,1,1,0,0
Clio,185,2000,2003,55,0,1,0,0
Clio,190000,1500,2002,48,0,1,0,0
Grand,138500,4000,2004,88,0,0,1,0
Clio,256000,1200,1999,44,1,0,0,0
Clio,155000,2500,2004,48,0,1,0,0
Clio,92000,3850,2006,63,0,0,1,0
Clio,225,2200,2002,48,1,0,0,0
Clio,190000,1900,2000,66,0,1,0,0
Scenic,205000,4799,2007,78,1,0,1,0
Clio,177000,2150,2004,43,0,0,0,0
Megane,161000,2900,2003,83,0,1,1,0
Megane,186000,2100,2003,79,0,0,1,0
Kangoo,140000,3300,2004,42,1,0,1,0
Scenic,103700,3250,2000,74,0,0,1,0
Clio,120000,1150,1996,57,0,0,1,0
Megane,210000,2000,2002,79,1,1,1,0
Modus,144837,4700,2007,63,0,1,1,0
Scenic,165000,2900,2004,88,0,0,1,0
Kangoo,215000,2250,2001,55,0,0,1,0
Megane,132000,2590,2002,79,0,1,1,0
Scenic,227000,2100,2002,70,1,1,1,0
Laguna,191546,2790,2002,79,0,0,1,0
Scenic,155000,2700,2003,75,0,0,1,0
Clio,179000,2250,2003,72,0,0,0,0
Megane,159000,7200,2009,96,0,0,1,0
Clio,176667,2100,2003,48,1,1,0,0
Laguna,252000,1600,1998,68,1,0,1,0
Clio,160464,4590,2010,50,1,1,0,0
Megane,201504,1200,2001,75,0,0,1,0
Megane,198000,2000,2000,79,0,0,0,0
Megane,210000,1999,2003,77,0,1,1,0
Laguna,189000,2350,2003,118,1,1,1,0
Megane,118000,2250,2002,59,0,0,1,0
Clio,122000,2099,2004,55,1,0,0,0
Grand,170000,3000,2005,88,0,0,1,0
Laguna,228000,2700,2002,88,0,1,1,0
Kangoo,153611,2450,2002,60,1,1,1,0
Megane,198000,2350,2002,80,1,1,0,0
Laguna,185,1330,2001,89,0,0,1,0
Scenic,180000,2800,2002,75,0,1,1,0
Scenic,280000,1700,2003,79,0,0,1,0
Megane,144200,7290,2012,66,1,1,1,0
Megane,86000,4500,2008,96,1,0,1,0
Kangoo,160000,1650,1998,55,0,1,1,0
Scenic,186523,5150,2009,85,1,0,1,0
Clio,202988,950,1999,79,1,0,0,0
Scenic,245000,3300,2003,99,0,1,1,0
Fluence,113000,7000,2011,66,0,1,1,0
Clio,180000,1450,2001,55,1,0,1,0
Espace,110000,6300,2007,127,0,1,1,0
Laguna,171500,2250,2002,79,0,0,1,0
Scenic,183000,2000,2001,72,1,0,1,0
Megane,165000,3300,2005,72,0,0,1,0
Laguna,178000,3000,2003,74,0,0,1,0
Megane,170000,3100,2005,74,0,0,1,0
Clio,172647,2000,2003,43,0,0,0,0
Scenic,212000,2950,2002,77,1,0,1,0
Laguna,188800,3750,2005,81,0,1,1,0
Clio,106600,3190,2005,48,1,0,0,0
Clio,181,370,1998,43,1,1,1,0
Clio,191500,1990,2002,48,0,1,0,0
Clio,171464,2549,2004,48,1,0,1,0
Megane,247890,1700,2002,59,0,0,1,0
Scenic,228000,2650,2003,88,0,1,1,0
Megane,160000,2900,2005,55,0,0,0,0
Megane,145000,3000,2003,60,0,1,1,0
Megane,83000,9000,2006,169,0,1,0,0
Megane,147950,4299,2004,80,0,0,0,0
Clio,159725,4990,2008,63,1,1,1,0
Laguna,172596,2899,2005,96,0,1,1,0
Megane,167000,6590,2011,81,1,1,1,0
Laguna,146556,7990,2011,81,0,1,1,0
Laguna,170000,2550,2003,88,1,1,1,0
Laguna,195600,2550,2002,88,0,1,1,0
Laguna,183526,2300,2001,79,1,0,1,0
Twingo,185000,1800,2003,43,0,0,0,0
Grand,170000,3590,2005,88,0,1,1,0
Scenic,197857,1899,2002,85,0,1,1,0
Megane,145000,2999,2004,60,0,0,1,0
Scenic,150000,2649,2002,75,0,1,1,0
Megane,176000,2200,2003,79,0,0,1,0
Megane,161589,2550,2003,83,0,0,1,0
Scenic,155000,4250,2006,92,0,0,1,0
Scenic,213359,2600,2002,79,0,1,1,0
Grand,138000,7350,2010,78,0,0,1,0
Laguna,175000,7150,2010,81,0,0,1,0
Megane,43000,18999,2011,184,0,0,0,0
Grand,162000,3750,2005,96,0,1,1,0
Scenic,120000,2090,2001,74,1,1,1,0
Laguna,133000,7990,2010,110,0,0,1,1
Kangoo,194000,2990,2005,48,1,0,1,0
Clio,157000,3490,2006,50,0,1,0,0
Megane,184000,2890,2004,88,0,0,1,0
Scenic,158000,2590,2003,88,0,1,1,0
Laguna,151090,7990,2010,110,0,1,1,1
Megane,144307,7900,2012,81,0,0,1,1
Scenic,108166,8500,2010,81,0,0,1,0
Scenic,146534,9190,2010,96,0,1,1,0
Scenic,197700,3500,2004,88,0,0,1,0
Kangoo,209000,3199,2005,70,0,1,1,0
Clio,150000,3700,2006,55,1,0,1,0
Twingo,158000,1050,1998,44,0,1,0,0
Megane,100000,900,1998,66,0,1,1,0
Scenic,181000,3550,2004,88,0,0,1,0
Megane,165780,2999,2004,74,0,0,1,0
Twingo,193000,1350,1998,40,0,1,0,0
Megane,182200,3300,2004,60,1,1,1,0
Clio,255000,1600,2002,48,0,0,0,0
Clio,128225,2500,2003,43,0,0,1,0
Scenic,230,2900,2004,88,0,1,1,0
Laguna,202000,2400,2002,74,1,0,1,0
Espace,253000,3200,2004,88,1,0,1,0
Scenic,355000,1960,2003,75,0,0,1,0
Clio,136800,2350,2003,48,0,1,1,0
Megane,150,2299,2004,60,0,0,0,0
Laguna,173000,3250,2005,89,0,1,1,0
Scenic,185000,2590,2002,79,0,0,1,0
Espace,406000,2900,2001,103,0,0,1,0
Twingo,73000,1600,2001,55,0,0,0,0
Megane,172000,3350,2003,88,0,0,1,0
Megane,246100,1900,2002,75,0,0,1,0
Clio,164210,4950,2010,68,0,0,0,0
Laguna,180492,6890,2008,127,1,1,1,0
Megane,160158,4250,2008,63,0,0,0,0
Twingo,178000,1700,2002,55,0,0,0,0
Megane,220,2750,2004,74,0,1,1,0
Megane,197000,3100,2004,90,1,1,1,0
Megane,231976,3100,2003,88,1,0,1,0
Laguna,252000,1700,2001,88,1,1,1,0
Scenic,160000,3100,2004,88,0,1,1,0
Megane,130000,2700,2003,60,1,1,1,0
Twingo,169000,1450,2001,43,0,0,0,0
Espace,280000,750,1998,83,0,1,1,0
Laguna,299999,2750,2004,88,0,0,1,0
Laguna,280000,3900,2006,96,1,0,1,0
Megane,174000,3300,2004,60,0,0,1,0
Clio,194000,600,1991,43,0,0,0,0
Clio,131600,1900,2002,48,1,1,0,0
Scenic,173000,2450,2001,59,0,0,1,0
Megane,178000,3290,2004,88,0,1,1,0
Scenic,160000,2390,2001,79,1,1,1,0
Kangoo,18500,2650,2002,60,0,0,1,0
Megane,160000,4000,2007,63,1,0,1,0
Thalia,285000,1600,2002,55,1,1,1,0
Megane,264000,3200,2009,96,0,1,1,0
Clio,132058,2300,2002,55,1,1,0,0
Scenic,128000,2900,2003,98,1,1,1,0
Clio,185000,1750,2000,44,0,0,1,0
Laguna,264000,1350,1998,69,1,1,1,0
Megane,163000,1450,2000,108,1,1,0,0
Safrane,234000,1049,1996,97,1,1,1,0
Laguna,144000,5650,2008,125,0,1,1,1
Scenic,217000,2450,2004,88,0,1,1,0
Megane,106000,5200,2008,96,0,1,1,0
Scenic,209000,1999,2002,79,1,0,1,0
Scenic,227000,2400,2001,75,0,0,1,0
Clio,150000,1850,2004,43,0,0,0,0
Clio,170000,1800,2003,48,1,1,0,0
Megane,1,1450,2006,1,0,0,1,0
Clio,140000,2400,2002,61,0,1,1,0
Laguna,156000,3450,2005,88,1,0,1,0
Clio,140000,2300,2002,72,1,0,1,0
Laguna,150000,1700,2002,88,0,1,1,0
Megane,217000,3700,2005,74,0,0,1,0
Megane,1,4666,2004,1,1,0,0,0
Kangoo,200000,790,1999,47,1,1,1,0
Scenic,187000,2200,2002,79,0,0,1,0
Laguna,168355,3999,2005,110,1,1,1,0
Scenic,160000,1950,2001,79,0,1,1,0
Scenic,200000,2100,2001,75,0,1,1,0
Megane,169230,1850,2003,75,0,0,1,0
Megane,180000,3000,2006,78,0,1,1,0
Laguna,180000,1650,2001,88,0,0,1,0
Grand,187603,3700,2004,97,0,1,1,1
Megane,119700,3250,2004,72,0,0,1,0
Megane,127000,2159,2002,79,0,0,1,0
Megane,3,12990,2015,81,1,0,1,0
Kangoo,163000,2750,2002,44,0,0,1,0
Megane,137435,3750,2005,88,1,0,1,0
Clio,180000,750,1995,55,1,0,1,0
Laguna,200000,7000,2008,85,0,1,1,0
Clio,350000,1450,2004,44,1,1,0,0
Megane,200000,2700,2003,60,0,0,0,0
Megane,154426,7490,2011,81,0,1,1,0
Megane,43000,7800,2011,81,0,1,1,0
Megane,160000,4150,2007,96,1,0,1,0
Laguna,210000,2500,2003,99,0,1,1,0
Scenic,172000,3150,2004,88,0,1,1,0
Laguna,200000,2800,2002,74,1,0,1,0
Megane,224213,1600,2000,75,0,0,1,0
Espace,145003,3249,2003,120,1,0,1,0
Clio,186000,3500,2005,55,0,0,0,0
Laguna,232000,1500,1996,68,0,1,1,0
Clio,156000,2250,2003,43,0,1,1,0
Scenic,273000,1490,1998,47,0,1,1,0
Clio,220000,550,1995,65,0,0,1,0
Scenic,154109,3350,2003,88,1,1,1,0
Scenic,189300,3250,2001,101,0,0,1,0
Scenic,178000,4290,2008,78,0,0,1,0
Scenic,163000,8400,2011,70,0,1,1,0
Laguna,166000,3200,2004,88,0,1,1,0
Laguna,174,3450,2005,88,1,0,1,0
Megane,148200,2990,2004,72,1,1,1,0
Twingo,213456,700,1995,44,0,1,0,0
Laguna,170000,2850,2004,88,1,0,1,0
Clio,204565,2380,2002,48,0,1,0,0
Megane,122434,6490,2010,66,0,1,1,0
Twingo,160000,1350,2000,44,0,0,0,0
Megane,170000,3400,2005,88,0,0,1,0
Megane,190000,2000,2001,75,1,1,1,0
Laguna,167000,1500,1998,68,1,1,1,0
Scenic,235000,1800,2001,79,0,1,1,0
Clio,178213,1850,2000,43,0,0,1,0
Laguna,355000,1800,2002,110,0,0,1,0
Laguna,380000,2400,2001,88,0,0,1,0
Scenic,201843,2600,2002,75,0,0,1,0
Scenic,203000,2150,2001,75,0,0,1,0
Laguna,248500,2550,2003,88,0,0,1,0
Scenic,174545,4100,2002,104,0,0,1,0
Clio,170758,1900,2002,48,0,0,0,0
Laguna,161000,2400,2002,74,0,1,1,0
Clio,183000,2300,2004,48,0,0,0,0
Megane,145100,4000,2006,78,1,1,1,0
Twingo,250000,550,1997,40,1,0,0,0
Megane,174595,2850,2004,88,0,0,1,0
Clio,114293,1799,2002,55,0,0,0,0
Scenic,102800,2299,2001,79,0,1,1,0
Megane,178000,2550,2004,88,0,1,1,0
Clio,129000,2650,2005,72,0,0,1,0
Megane,208906,5700,2010,66,1,1,1,0
Grand,167817,3000,2004,88,1,1,1,0
Megane,173667,5800,2010,96,0,0,1,0
Scenic,174017,6300,2010,81,0,0,1,0
Clio,168000,4850,2009,51,0,0,1,0
Grand,221000,3600,2004,74,0,0,1,0
Clio,160000,1990,2002,48,0,0,0,0
Scenic,167000,3400,2003,60,0,1,1,0
Clio,169500,1850,2003,80,0,0,0,0
Modus,160000,3100,2005,63,0,0,1,0
Clio,139291,2550,2003,43,0,0,1,0
Megane,150000,7099,2012,66,0,0,1,0
Clio,135000,2300,2002,44,1,1,1,0
Clio,174000,3990,2006,50,1,0,1,0
Clio,1,2000,2003,55,1,1,0,0
Scenic,119911,4500,2007,96,0,0,1,0
Scenic,165000,3500,2004,88,0,0,1,0
Scenic,171045,3400,2005,88,0,1,1,0
Kangoo,185000,2400,2002,51,0,0,1,0
Megane,188000,2850,2003,88,1,0,1,0
Kangoo,209366,3390,2002,59,0,1,1,0
Megane,138825,6950,2012,66,1,0,1,0
Grand,199366,7450,2010,96,0,0,1,0
Megane,257114,5750,2010,66,1,0,1,0
Scenic,209000,4350,2007,78,1,0,1,0
Scenic,228000,3150,2003,88,0,1,1,0
Clio,152234,3999,2006,78,0,0,1,0
Megane,61153,8200,2009,78,0,0,0,0
Megane,171528,2750,2004,77,1,0,1,0
Clio,147527,3650,2009,55,0,1,0,0
Scenic,145000,2990,2003,88,0,1,1,0
Clio,175000,4300,2006,55,0,0,1,0
Laguna,144000,2399,2003,88,0,0,1,0
Laguna,172000,2200,2003,74,0,0,1,0
Scenic,179000,4500,2008,78,1,1,1,0
Modus,181000,3290,2005,48,0,0,1,0
Scenic,275746,2199,2002,79,0,0,1,0
Clio,110802,2649,2005,60,0,0,0,0
Megane,169739,2890,2004,88,0,0,1,0
Laguna,180401,2899,2003,88,0,1,1,0
Scenic,185463,7590,2010,81,1,0,1,0
Scenic,164393,8490,2012,81,1,0,1,0
Scenic,170000,3900,2005,63,0,1,1,0
Clio,170000,2050,2003,60,1,0,1,0
Megane,213000,2500,2003,88,1,1,1,0
Scenic,220000,3100,2004,88,0,1,1,0
Megane,167000,2990,2003,60,0,0,1,0
Scenic,158000,3750,2005,60,1,1,1,0
Megane,176000,5700,2010,63,0,0,1,0
Megane,202000,2750,2003,88,1,1,0,0
Modus,170000,3199,2004,72,0,1,1,0
Clio,170000,1950,2002,44,0,0,0,0
Scenic,180000,3000,2003,88,0,0,1,0
Clio,240000,1800,2001,47,1,1,0,0
Laguna,170,2500,2003,110,0,0,1,0
Clio,175,1750,2004,55,1,1,0,0
Clio,170000,5190,2010,60,0,0,0,0
